Ni,Si,Ce,La,cold_rolling_strain,annealing_T,annealing_t,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,hardness,is_cold_rolled,is_annealed,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
3.0,0.6,0.0,0.0,70.0,-1,-1.0,950,1.0,450,2.0,,25.21,,1,0,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
3.0,0.6,0.0,0.0,70.0,-1,-1.0,950,1.0,450,2.0,512.0,23.94,,1,0,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,318.0,23.2,,0,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,328.0,24.3,,0,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,274.0,21.7,,0,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,233.0,20.3,,0,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,900,1.0,-1,-1.0,184.0,19.1,,0,0,1,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,25.0,-1,-1.0,-1,-1.0,-1,-1.0,302.0,21.5,,1,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,-1,-1.0,379.0,21.0,,1,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,75.0,-1,-1.0,-1,-1.0,-1,-1.0,447.0,21.8,,1,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,97.5,-1,-1.0,-1,-1.0,-1,-1.0,601.0,22.3,,1,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,97.5,-1,-1.0,-1,-1.0,450,1.0,758.0,54.5,,1,0,0,1,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,-1,-1.0,734.0,,248.3,1,0,0,0,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,-1,-1.0,726.7,,248.0,1,0,0,0,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,-1,-1.0,733.2,,246.0,1,0,0,0,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,-1,-1.0,707.7,,229.0,1,0,0,0,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,-1,-1.0,690.1,,241.0,1,0,0,0,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,-1,-1.0,684.1,,237.0,1,0,0,0,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,460,3.0,574.0,39.02,180.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,460,3.0,579.2,39.02,182.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,460,3.0,576.1,39.02,185.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,480,3.0,620.8,41.25,197.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,480,3.0,621.8,41.25,199.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,480,3.0,622.0,41.25,199.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,500,3.0,608.9,42.28,211.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,500,3.0,612.2,42.28,212.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,500,3.0,604.7,42.28,209.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,460,3.0,707.7,41.25,228.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,460,3.0,709.1,41.25,229.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,460,3.0,709.3,41.25,231.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,480,3.0,648.3,43.31,212.0,1,0,0,1,0.9669838465699013,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
